daily_mean,daily_high,daily_low
17.1,23,11.1
16.9,22.9,11
16.8,22.7,10.9
16.7,22.6,10.7
16.6,22.5,10.6
16.5,22.4,10.5
16.4,22.3,10.4
16.3,22.3,10.4
16.3,22.2,10.3
16.2,22.2,10.3
16.2,22.1,10.3
16.2,22.1,10.3
16.2,22.1,10.3
16.2,22.1,10.3
16.2,22.1,10.3
16.3,22.2,10.4
16.3,22.2,10.5
16.4,22.3,10.6
16.5,22.3,10.7
16.6,22.4,10.8
16.8,22.5,11
16.9,22.7,11.1
17,22.8,11.3
17.2,23,11.4
17.4,23.1,11.6
17.5,23.3,11.8
17.7,23.5,12
17.9,23.6,12.2
18.1,23.8,12.4
18.3,24,12.6
18.6,24.3,12.9
18.8,24.5,13.1
19,24.7,13.3
19.2,24.9,13.5
19.4,25.1,13.7
19.6,25.4,13.9
19.9,25.6,14.1
20.1,25.8,14.3
20.3,26.1,14.5
20.5,26.3,14.7
20.7,26.5,14.8
20.9,26.7,15
21,26.9,15.2
21.2,27.1,15.3
21.4,27.3,15.4
21.5,27.5,15.6
21.7,27.7,15.7
21.8,27.9,15.8
22,28.1,15.9
22.1,28.3,15.9
22.2,28.5,16
22.4,28.6,16.1
22.5,28.8,16.1
22.6,28.9,16.2
22.7,29.1,16.2
22.8,29.2,16.3
22.9,29.4,16.3
22.9,29.5,16.4
23,29.7,16.4
23.1,29.8,16.4
23.2,30,16.5
23.3,30.1,16.5
23.4,30.3,16.6
23.5,30.4,16.6
23.6,30.6,16.7
23.7,30.7,16.8
23.9,30.9,16.8
24,31.1,16.9
24.1,31.2,17
24.3,31.4,17.1
24.4,31.6,17.3
24.6,31.8,17.4
24.8,32,17.6
25,32.3,17.8
25.2,32.5,18
25.5,32.8,18.2
25.7,33.1,18.4
26,33.3,18.6
26.3,33.6,18.9
26.6,33.9,19.2
26.9,34.3,19.5
27.2,34.6,19.8
27.6,35,20.1
27.9,35.3,20.5
28.3,35.7,20.9
28.7,36.1,21.3
29.1,36.5,21.6
29.5,36.9,22.1
29.9,37.4,22.5
30.4,37.8,22.9
30.8,38.2,23.4
31.3,38.7,23.8
31.7,39.2,24.3
32.2,39.6,24.7
32.7,40.1,25.2
33.1,40.6,25.7
33.6,41.1,26.2
34.1,41.6,26.6
34.6,42.1,27.1
35.1,42.6,27.6
35.6,43.1,28.1
36,43.5,28.5
36.5,44,29
37,44.5,29.5
37.5,45,29.9
37.9,45.5,30.4
38.4,46,30.8
38.8,46.4,31.2
39.3,46.9,31.7
39.7,47.4,32.1
40.1,47.8,32.5
40.6,48.3,32.9
41,48.7,33.3
41.4,49.1,33.6
41.8,49.5,34
42.1,49.9,34.3
42.5,50.3,34.7
42.9,50.7,35
43.2,51.1,35.3
43.6,51.5,35.6
43.9,51.8,36
44.2,52.2,36.2
44.5,52.5,36.5
44.8,52.9,36.8
45.2,53.2,37.1
45.4,53.5,37.4
45.7,53.8,37.6
46,54.1,37.9
46.3,54.5,38.2
46.6,54.7,38.4
46.9,55,38.7
47.1,55.3,38.9
47.4,55.6,39.2
47.7,55.9,39.4
47.9,56.2,39.7
48.2,56.4,40
48.5,56.7,40.2
48.7,57,40.5
49,57.2,40.7
49.2,57.5,41
49.5,57.7,41.3
49.8,58,41.5
50,58.3,41.8
50.3,58.5,42.1
50.6,58.8,42.4
50.8,59,42.7
51.1,59.3,43
51.4,59.5,43.3
51.7,59.8,43.6
51.9,60,43.8
52.2,60.3,44.1
52.5,60.5,44.4
52.7,60.7,44.7
53,61,45
53.3,61.2,45.4
53.5,61.4,45.7
53.8,61.7,45.9
54.1,61.9,46.2
54.3,62.1,46.5
54.6,62.3,46.8
54.8,62.5,47.1
55.1,62.7,47.4
55.3,62.9,47.7
55.6,63.1,48
55.8,63.3,48.2
56,63.5,48.5
56.2,63.7,48.8
56.4,63.9,49
56.6,64,49.2
56.8,64.2,49.5
57,64.4,49.7
57.2,64.5,49.9
57.4,64.7,50.2
57.6,64.8,50.4
57.7,64.9,50.6
57.9,65,50.7
58,65.2,50.9
58.2,65.3,51.1
58.3,65.4,51.3
58.4,65.5,51.4
58.6,65.6,51.6
58.7,65.6,51.7
58.8,65.7,51.9
58.9,65.8,52
59,65.9,52.1
59.1,65.9,52.2
59.2,66,52.3
59.2,66,52.5
59.3,66.1,52.5
59.4,66.1,52.6
59.5,66.2,52.7
59.5,66.2,52.8
59.6,66.3,52.9
59.6,66.3,53
59.7,66.3,53
59.7,66.3,53.1
59.7,66.4,53.1
59.8,66.4,53.2
59.8,66.4,53.2
59.8,66.4,53.3
59.8,66.4,53.3
59.9,66.4,53.3
59.9,66.4,53.3
59.9,66.4,53.3
59.9,66.4,53.4
59.9,66.4,53.4
59.8,66.3,53.3
59.8,66.3,53.3
59.8,66.3,53.3
59.8,66.2,53.3
59.7,66.2,53.2
59.7,66.1,53.2
59.6,66.1,53.2
59.6,66,53.1
59.5,66,53
59.4,65.9,52.9
59.3,65.8,52.8
59.2,65.7,52.7
59.1,65.6,52.6
59,65.5,52.5
58.9,65.4,52.4
58.8,65.2,52.3
58.6,65.1,52.1
58.5,65,52
58.3,64.8,51.8
58.1,64.7,51.6
58,64.5,51.4
57.8,64.3,51.2
57.6,64.1,51
57.4,63.9,50.8
57.2,63.7,50.6
57,63.5,50.4
56.7,63.3,50.1
56.5,63.1,49.9
56.3,62.9,49.6
56,62.6,49.4
55.8,62.4,49.1
55.5,62.1,48.9
55.2,61.9,48.6
55,61.6,48.3
54.7,61.3,48.1
54.4,61.1,47.8
54.1,60.8,47.5
53.9,60.5,47.2
53.6,60.2,46.9
53.3,59.9,46.7
53,59.6,46.4
52.7,59.3,46.1
52.4,59,45.8
52.1,58.7,45.5
51.8,58.4,45.2
51.5,58.1,44.9
51.2,57.7,44.6
50.9,57.4,44.3
50.6,57.1,44
50.2,56.7,43.7
49.9,56.4,43.4
49.6,56.1,43.1
49.3,55.7,42.8
49,55.4,42.5
48.6,55,42.2
48.3,54.6,41.9
47.9,54.3,41.6
47.6,53.9,41.3
47.2,53.5,41
