"STATION","DATE","DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","DLY-TMIN-NORMAL"
"USW00014922","07-01","    73.6","    82.7","    64.5"
"USW00014922","07-02","    73.7","    82.9","    64.6"
"USW00014922","07-03","    73.9","    83.0","    64.8"
"USW00014922","07-04","    74.0","    83.1","    64.9"
"USW00014922","07-05","    74.1","    83.2","    65.0"
"USW00014922","07-06","    74.2","    83.3","    65.2"
"USW00014922","07-07","    74.3","    83.4","    65.3"
"USW00014922","07-08","    74.4","    83.5","    65.3"
"USW00014922","07-09","    74.5","    83.6","    65.4"
"USW00014922","07-10","    74.6","    83.6","    65.5"
"USW00014922","07-11","    74.6","    83.7","    65.5"
"USW00014922","07-12","    74.7","    83.7","    65.6"
"USW00014922","07-13","    74.7","    83.7","    65.6"
"USW00014922","07-14","    74.7","    83.8","    65.6"
"USW00014922","07-15","    74.7","    83.8","    65.7"
"USW00014922","07-16","    74.7","    83.8","    65.7"
"USW00014922","07-17","    74.7","    83.8","    65.7"
"USW00014922","07-18","    74.7","    83.7","    65.6"
"USW00014922","07-19","    74.7","    83.7","    65.6"
"USW00014922","07-20","    74.6","    83.7","    65.6"
"USW00014922","07-21","    74.6","    83.6","    65.5"
"USW00014922","07-22","    74.5","    83.6","    65.5"
"USW00014922","07-23","    74.5","    83.5","    65.5"
"USW00014922","07-24","    74.4","    83.4","    65.4"
"USW00014922","07-25","    74.3","    83.4","    65.3"
"USW00014922","07-26","    74.3","    83.3","    65.3"
"USW00014922","07-27","    74.2","    83.2","    65.2"
"USW00014922","07-28","    74.1","    83.1","    65.1"
"USW00014922","07-29","    74.0","    83.0","    65.0"
"USW00014922","07-30","    73.9","    82.9","    64.9"
"USW00014922","07-31","    73.8","    82.8","    64.9"
